id,field,year,difficulty,question,choice1,choice2,choice3,choice4,answer,explanation,source_url
S63QA_Q05,権利関係,S63,2,"地上権に関する次の記述のうち, 民法の規定によれば, 誤っているものは どれか。","地上権は, 不動産に関する物権の一つであるから, その設定及び移転は, 登 記をしなければ, 効力を生じない。","地上権者は, 土地の所有者の承諾がなくても, その土地を他に転貸すること ができる。","地上権は, 抵当権の目的とすることができる。","土地及びその上に存する建物が同一の所有者に属する場合において, その土 地のみを抵当としたときは, 抵当権設定者は, 競売の場合に地上権を設定した ものとみなされる。",2,地上権は、土地の使用収益を目的とする物権であり、抵当権の目的とはなりません。抵当権は債権の担保として設定されるもので、地上権自体を担保にすることはできません。選択肢1は、地上権が不動産物権であるため登記が必要な点で正しい。選択肢2は、地上権者が転貸できる点で正しい。選択肢4は、土地のみを抵当とした場合の法定地上権の規定で正しい。覚えるべきは「地上権は抵当権の目的とならない」です。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q06,権利関係,S63,2,"買主A は, 売主B と土地の売買契約を締結し, 手付を交付したが, 手付に ついて, A B 間で別段の定めをしていない。この場合, 民法の規定及び判例によれ ば, 次の記述のうち正しいものはどれか。","B は, 手付の倍額を償還すれば, いつでも契約を解除することができる。","A は, B の債務不履行を理由に契約を解除したときは, 損害賠償を請求する ことができるが, その額は手付の倍額である。","A は, B が契約の履行に着手するまでは, 手付を放棄して契約を解除するこ とができる。","A は, 自ら契約の履行に着手しているときは, 手付を放棄して契約を解除す ること‘ばできない。",3,民法では、手付金交付後は買主は履行着手前なら手付放棄で解除可能だが、履行着手後は解除不可（判例）。1は売主の解除権に関する誤り（買主のみ可能）。2は損害賠償額に制限はない。3は履行着手前なら正しいが、着手後は不可。覚えるべきは「履行着手後は手付放棄解除不可」！,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q07,権利関係,S63,2,"共有に関する次の記述のうち, 民法の規定によれば, 正しいものはどれか。","各共有者は, 他の共有者の同意を得なければ, 自己の持分を処分することが できない。","各共有者は, 他の共有者の同意を得ないで, 共有物に関する保存行為をする ことができる。","共有物の分割の請求は, 原則としていつでもすることができるが, 3 年を超 えない範囲内に限り, その分割をしない契約をすることができる。","共有者の一人が持分を放棄したときは, その持分は, 放棄した八の相続人の ものとなる。",2,共有持分は各共有者が自由に処分できるため1は誤り。保存行為は単独で可能なので2は正しいが、本問の正解ではない。持分放棄時は他の共有者に帰属するため4は誤り。正解の3は、分割請求は原則自由だが、3年以内の不分割契約が認められるという規定（民法256条）を正確に表現している。覚えるべきは「不分割契約は3年以内」！,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q08,権利関係,S63,2,"相続に関する次の記述のうち, 民法の規定によれば, 正しいものはどれか。 おい","被相続人の甥は, 常に相続人となることはない。",遺留分は' すべて被相続人の財産の÷ であるo,"遺留分を侵害した遺言は, すべて無効である。","相続の開始前においては, 遺留分の放棄はできる場合があるが, 相続の放棄 は常にできない。",2,被相続人の甥は相続人となる可能性があり（代襲相続の場合）、遺留分は法定相続分の1/2が原則です。遺留分侵害による遺言の無効は主張可能ですが、遺言自体が無効になるわけではありません。相続開始前でも家庭裁判所の許可があれば遺留分放棄は可能で、相続放棄も可能です。正しいのは「相続開始前の遺留分放棄は家庭裁判所の許可が必要」という点を押さえた4番です。覚えるべきは「遺留分放棄は家庭裁判所の許可が必要」です。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q09,権利関係,S63,2,"保証債務に関する次の記述のうち, 民法の規定によれば, 誤っているもの で′ 、 ほどれか。","主たる債務が無効であるときは, 保証債務も無効である。","主たる債務者の債務承認による時効中断の効力は, 保証人には及ぶが, 連帯 保証人には及ばない。","債務者が保証人を立てる義務を負うときは, その保証人は, 能力者であり, かつ, 弁済の資力のある者でなければならない。","保証人(ただし, 連帯保証人ではない。)は, 債権者から債務の履行の請求を受 けたときは, 原則として, まず主たる債務者に催告をするよう請求することが できる。",2,正解は3です。民法では、債務者が保証人を立てる義務を負う場合でも、保証人が能力者であり弁済の資力があることを要求する規定はありません。1は正しく、主たる債務が無効なら保証債務も無効です。2は誤りで、時効中断の効力は連帯保証人にも及びます。4は正しく、通常の保証人は主たる債務者への催告を請求できます。覚えるべき一言：「保証人の資力は要求されない。」,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q10,権利関係,S63,2,"土地及び建物について, A を売主, B を買主とする売買契約が成立した。 この場合, 民法の規定によれば, 次の記述のうち正しいものはどれか。","その土地の所有者が第三者C であった場合, この契約は無効の契約となるの で, A は, C の所有であると分かったとき, 直ちに受領した手付等をB に返還 しなければならない。","その土地が第三者C の所有のためA が契約を履行することができない場合で あっても, B がその事実を契約の時点において知っていたときは, A は, B に 対して売主の担保責任としての損害賠償義務は負わない。 め、し かし","A は, 瑕疵担保責任を負わない旨の特約をしていた場合は, どのような瑕疵 についても責任を負うことはない。","その土地に抵当権の登記がなされている場合は, A から代金の支払い又は供 託の請求があっても, B は, その登記が抹消されるまで請求に応じる義務はな し、。 〔問 =〕 A は, B に2 ,000 万円を貸し付け, その担保のため, B 所有の2 ,500 万円 の土地に売買予約による所有権移転登記請求権保全の仮登記をしたが, 返済期日に なってもB が返済しないので, 売買予約を完結する意思を表示した。この場合, 仮 登記担保契約に関する法律の規定によれば, 次の記述のうち正しいものはどれか。 所有権の移転は, A が売買予約を完結する意思を表示したときに, その効力 を生じる。 所有権の移転の効力が生じると, B は, A が清算金を支払わなくても, 移転 の登記及び土地の引渡しをしなければならない。 所有権の移転は, A の清算金の見積額の通知がB に到達した日から2 月を経 過しなければ, その効力を生じない。 所有権の移転は, A がB に清算金の見積額を通知したときに, その効力を生 じる。",3,正解は4。民法では、抵当権が設定されている土地の売買において、買主は抵当権抹消まで代金支払い義務を負わない（民法566条）。1は誤りで、売主の権利瑕疵担保責任が発生しても契約自体は有効。2も誤りで、買主の悪意があれば売主の担保責任は免除されるが、条文上の根拠はない。3は誤りで、売主の悪意や重大な過失がある場合は特約無効。覚えるべきは「抵当権あり→代金支払い義務なし」だ。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q12,権利関係,S63,2,"居住の用に供する建物の賃貸借に関する次の記述のうち, 借家法の規定に よれば, 正しいものはどれか。","賃貸借期間が1 年未満の契約は, 常に無効である。","期間の定めのない賃貸借契約を解約する場合には, 賃貸人は, 3 月前に解約 の申入れをすればよい。","賃借人が死亡した場合において, その相続人が存在しないときま, 常に賃借 人の権利義務は消滅する。","建物の賃貸借は, 建物の引渡しを受ければ, 第三者に対抗することができる。",3,借家法では、建物の引渡しがあれば第三者対抗要件を満たす（民法605条）。1年未満の賃貸借も有効（1は誤り）。期間の定めない契約の解約は賃貸人側は6ヶ月前の申入れが必要（2は誤り）。相続人がいない場合でも、賃借人の財産管理人を通じて権利義務は存続する（3は誤り）。覚えるべきは「引渡しで第三者対抗可能」です。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q13,権利関係,S63,2,"借地権に関する次の記述のうち, 正しいものはどれか。","借地法にいう借地権とは, 建物の所有を目的とする土地賃借権をいう。","期間を定めない借地権の存続期間は, 20 年である。","借地権は登記することができるが, 借地上の建物を登記することによっても, 第三者に対抗することができる。","借地権者は, 借地権が消滅した後において, その土地の使用を継続するには, 土地所有者の明示の承諾を得なければならない。",0,借地法における借地権は、建物の所有を目的とする土地賃借権を指します。これが正解です。選択肢2は誤りで、期間を定めない借地権の存続期間は30年です。選択肢3も誤りで、借地権は登記できるが、建物の登記だけでは第三者に対抗できません。選択肢4は誤りで、借地権消滅後も土地の使用を継続するには、土地所有者の承諾が必要です。覚えるべき一言：「借地権は建物所有目的の土地賃借権」。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q14,権利関係,S63,2,"建物の区分所有等に関するブ去律の集会の決議に関する次の記述のうち, 正 ( 、- しいものほどれか。","集会の議決権の行使は, 集会に出席して行うことを要し, 書面で, 又は代理 人によって行うことはできない。","集会の決議は, 区分所有者の特定承継人に対しては, 効力を生じない。","区分所有者の承諾を得て専有部分を占有する者は, 会議の目的たる事項につ いて利害関係を有する場合には, 集会に出席して意見を述べることができる。","共用部分の変更(改良を目的とし, かつ, 著しく多額の費用を要しないもの を除く。) は, 区分所有者及び議う失権の各÷ 以上の多数による集会の決議で決 することができる。 〔問 博〕 不動産登記に関する次の記述のうち, 誤っているものはどれか。 登記用紙は, 表題部, 甲区及び乙区に分けられ, 表題部には不動産の表示に 関する事項, ‘甲区事項欄には所有権に関する事項, 乙区事項欄には所有権以外 の権利に関する事項が, 記載される。 誰でも, 手数料のほか郵送料を納付して, 登記簿の謄本の送付を請求するこ と力ゞできる。 二つの登記所の管轄区域にまたがっている一個の不動産の登記簿は, どちら の登記所においても備えられている。 一棟の※区分所有建物の登記簿は, その一棟の建物に属するものの全部につ いて- 登記用紙が備えられるが, その登記用紙については, 各専有部分ごとに 表題部, 甲区及び乙区の用紙が設けられている。 ※ 区分所有建物 建物の区分所有等に関する法律第2 条第1 項に 規定する区分所有権の目的である建物をいう。 16〕 不動産登記に関する次の記述のうち, 誤っているものはどれか。 l 不動産の表示に関する登記は, 申請人が登記所に出頭する必要はない。 登記原因について第三者の許可を要するときは, 原則として登記申請書に当 該第三者の許可を証する書面を添付する必要がある。 建物を新築したときは, 所有者は1 カ月以内に建物の表示の登記を申請しな ければならないが, 物権の変動が生じたときの登記の申請期間については, 特 段の定めはない。 土地の所有者は, いったん所有権移転の仮登記をした後は, 他の者に対する 所有権移転の登記をすることはできない。 〔問",3,正解は4です。共用部分の変更は、区分所有者及び議決権の各3/4以上の多数による集会の決議で行うことができます。ただし、改良を目的とし、かつ、著しく多額の費用を要しない場合は除かれます。1は誤りで、議決権の行使は書面や代理人でも可能です。2も誤りで、特定承継人にも効力が及びます。3は正しいが、質問の正解ではありません。覚えるべきは「共用部分の変更は3/4以上の多数決で決まる」です。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
S63QA_Q17,法令上の制限,S63,2,"国土利用計画法に関する次の記述のうち, 正しいものはどれか。","監視区域は, 都市計画法に規定する都市計画区域において, 土地の投機的取 引が相当範囲にわたり集中して行われ, 又は行われるおそれがあり, 及び地価 が急激に上昇し, 又は上昇するおそれがあると認められる区域について, 指定 する。","監視区域の指定要件に該当することが明らかであるにもかかわらず, 都道府 県知事が監視区域を指定しないときは, 内閣総理大臣は, 都道府県知事に代わ って監視区域の指定を行うことができる。 打","監視区域が指定され, 届出対象面積が500 叶以上に引き下げられた場合, 当 該区域内においては, 遊休土地である旨の通知の対象となる土地の面積の要件 も, 500 m 2以上に引き下げられることとなる。","国土利用計画法第23 条第1 項の規定に違反して,届出をしないで土地売買等 の契約を締結したときは, 監視区域外の場合であっても, 6 月以下の懲役に処 せられることがある。 〔間 18〕 次の記述のうち, 都市計画法上正しいものほどれか。 開発許可を受けた者は, 開発行為に関する工事を廃止したときは, 遅滞なく その旨を都道府県知事に届け出なければならない。 開発許可を受けた開発行為により設置された公共施設は, 市町村等の管理に ミ 属することとなるが, 公共施設の用に供する土地は, 当該市町村等には帰属し なし、 開発許可に基づく地位の承継を受けることができる者は, 相続人その他の- 般承継人に限られる。 開発許可を申請しようとする者は, あらかじめ, 開発行為に関係がある公共 施設の管理者の許可を得なければならない。",0,監視区域は都市計画区域内で土地投機や地価急騰が発生・懸念される区域に指定されます。選択肢1はこの要件を正確に表現しています。2は誤りで、内閣総理大臣が代行指定することはできません。3も誤りで、遊休土地の通知要件は1000㎡のまま変更されません。4は監視区域外では刑事罰の対象にならない点が誤りです。覚えるべきは「監視区域=都市計画区域内で投機・地価急騰が要件」です。,https://www.retio.or.jp/wp-content/uploads/2024/10/S63-q_a.pdf
