id,field,year,difficulty,question,choice1,choice2,choice3,choice4,answer,explanation,source_url
R5QESTIONANSWER_Q01,権利関係,R5,2,次の1 から4 までの記述のうち、民法の規定、判例及び下記判決文によれば、 誤っているものはどれか。 （判決文） 遺産は、相続人が数人あるときは、相続開始から遺産分割までの間、共同相続人の共有に属 するものであるから、この間に遺産である賃貸不動産を使用管理した結果生ずる金銭債権たる 賃料債権は、遺産とは別個の財産というべきであって、各共同相続人がその相続分に応じて分 割単独債権として確定的に取得するものと解するのが相当である。,遺産である不動産から、相続開始から遺産分割までの間に生じた賃料債権は、遺産である 不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった場合、当該不 動産が帰属することになった相続人が相続開始時にさかのぼって取得する。,相続人が数人あるときは、相続財産は、その共有に属し、各共同相続人は、その相続分に 応じて被相続人の権利義務を承継する。,遺産分割の効力は、相続開始の時にさかのぼって生ずる。ただし、第三者の権利を害する ことはできない。,遺産である不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった 場合、当該不動産から遺産分割後に生じた賃料債権は、遺産分割によって当該不動産が帰属 した相続人が取得する。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q02,権利関係,R5,2,相隣関係に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,土地の所有者は、境界標の調査又は境界に関する測量等の一定の目的のために必要な範囲 内で隣地を使用することができる場合であっても、住家については、その家の居住者の承諾 がなければ、当該住家に立ち入ることはできない。,土地の所有者は、隣地の竹木の枝が境界線を越える場合、その竹木の所有者にその枝を切 除させることができるが、その枝を切除するよう催告したにもかかわらず相当の期間内に切 除しなかったときであっても、自らその枝を切り取ることはできない。,相隣者の一人は、相隣者間で共有する障壁の高さを増すときは、他方の相隣者の承諾を得 なければならない。,他の土地に囲まれて公道に通じない土地の所有者は、公道に出るためにその土地を囲んで いる他の土地を自由に選んで通行することができる。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q03,権利関係,R5,2,Ａを注文者、Ｂを請負人として、Ａ所有の建物に対して独立性を有さずその構成 部分となる増築部分の工事請負契約を締結し、Ｂは3 か月間で増築工事を終了させた。この場 合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。なお、 この問において「契約不適合」とは品質に関して契約の内容に適合しないことをいい、当該請 負契約には契約不適合責任に関する特約は定められていなかったものとする。,ＡがＢに請負代金を支払っていなくても、Ａは増築部分の所有権を取得する。,Ｂが材料を提供して増築した部分に契約不適合がある場合、Ａは工事が終了した日から1 年以内にその旨をＢに通知しなければ、契約不適合を理由とした修補をＢに対して請求する ことはできない。,Ｂが材料を提供して増築した部分に契約不適合があり、Ｂは不適合があることを知りなが らそのことをＡに告げずに工事を終了し、Ａが工事終了日から3 年後に契約不適合を知った 場合、ＡはＢに対して、消滅時効が完成するまでは契約不適合を理由とした修補を請求する ことができる。,増築した部分にＡが提供した材料の性質によって契約不適合が生じ、Ｂが材料が不適当で あることを知らずに工事を終了した場合、ＡはＢに対して、Ａが提供した材料によって生じ た契約不適合を理由とした修補を請求することはできない。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q04,権利関係,R5,2,ＡがＢに対して貸金債権である甲債権を、ＢがＡに対して貸金債権である乙債権 をそれぞれ有している場合において、民法の規定及び判例によれば、次のアからエまでの記述 のうち、Ａが一方的な意思表示により甲債権と乙債権とを対当額にて相殺できないものを全て 掲げたものは、次の1 から4 のうちどれか。なお、いずれの債権も相殺を禁止し又は制限する 旨の意思表示はされていないものとする。 ア 弁済期の定めのない甲債権と、弁済期到来前に、ＡがＢに対して期限の利益を放棄する旨 の意思表示をした乙債権 イ 弁済期が到来している甲債権と、弁済期の定めのない乙債権 ウ 弁済期の定めのない甲債権と、弁済期が到来している乙債権 エ 弁済期が到来していない甲債権と、弁済期が到来している乙債権,ア、イ、ウ,イ、ウ,ウ、エ,エ,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q05,権利関係,R5,2,従来の住所又は居所を去った者（以下この問において「不在者」という。）の財 産の管理に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、 この問において「管理人」とは、不在者の財産の管理人をいうものとする。,不在者が管理人を置かなかったときは、当該不在者の生死が7 年間明らかでない場合に限 り、家庭裁判所は、利害関係人又は検察官の請求により、その財産の管理について必要な処 分を命ずることができる。,不在者が管理人を置いた場合において、その不在者の生死が明らかでないときは、家庭裁 判所は、利害関係人又は検察官から請求があったとしても管理人を改任することはできない。,家庭裁判所により選任された管理人は、不在者を被告とする建物収去土地明渡請求を認容 した第一審判決に対して控訴を提起するには、家庭裁判所の許可が必要である。,家庭裁判所により選任された管理人は、保存行為として不在者の自宅を修理することがで きるほか、家庭裁判所の許可を得てこれを売却することができる。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q06,権利関係,R5,2,Ａ所有の甲土地について、Ｂが所有の意思をもって平穏にかつ公然と時効取得に 必要な期間占有を継続した場合に関する次の記述のうち、民法の規定及び判例によれば、正し いものはいくつあるか。 ア ＡがＣに対して甲土地を売却し、Ｃが所有権移転登記を備えた後にＢの取得時効が完成し た場合には、Ｂは登記を備えていなくても、甲土地の所有権の時効取得をＣに対抗すること ができる。 イ Ｂの取得時効が完成した後に、ＡがＤに対して甲土地を売却しＤが所有権移転登記を備え、 Ｂが、Ｄの登記の日から所有の意思をもって平穏にかつ公然と時効取得に必要な期間占有を 継続した場合、所有権移転登記を備えていなくても、甲土地の所有権の時効取得をＤに対抗 することができる。 ウ Ｂの取得時効完成後、Ｂへの所有権移転登記がなされないままＥがＡを債務者として甲土 地にＡから抵当権の設定を受けて抵当権設定登記をした場合において、Ｂがその後引き続き 所有の意思をもって平穏にかつ公然と時効取得に必要な期間占有を継続した場合、特段の事 情がない限り、再度の時効取得により、Ｂは甲土地の所有権を取得し、Ｅの抵当権は消滅す る。,一つ,二つ,三つ,なし,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q07,権利関係,R5,2,甲建物を所有するＡが死亡し、Ａの配偶者Ｂが甲建物の配偶者居住権を、Ａの子 Ｃが甲建物の所有権をそれぞれ取得する旨の遺産分割協議が成立した場合に関する次の記述の うち、民法の規定によれば、正しいものはどれか。,遺産分割協議において、Ｂの配偶者居住権の存続期間が定められなかった場合、配偶者居 住権の存続期間は20 年となる。,Ｂが高齢となり、バリアフリーのマンションに転居するための資金が必要になった場合、 Ｂは、Ｃの承諾を得ずに甲建物を第三者Ｄに賃貸することができる。,Ｃには、Ｂに対し、配偶者居住権の設定の登記を備えさせる義務がある。,Ｃは、甲建物の通常の必要費を負担しなければならない。,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q08,権利関係,R5,2,未成年者Ａが、法定代理人Ｂの同意を得ずに、Ｃから甲建物を買い受ける契約 （以下この問において「本件売買契約」という。）を締結した場合における次の記述のうち、民 法の規定によれば、正しいものはどれか。なお、Ａに処分を許された財産はなく、Ａは、営業 を許されてはいないものとする。,ＡがＢの同意を得ずに制限行為能力を理由として本件売買契約を取り消した場合、Ｂは、 自己が本件売買契約の取消しに同意していないことを理由に、Ａの当該取消しの意思表示を 取り消すことができる。,本件売買契約締結時にＡが未成年者であることにつきＣが善意無過失であった場合、Ｂは、 Ａの制限行為能力を理由として、本件売買契約を取り消すことはできない。,本件売買契約につき、取消しがなされないままＡが成年に達した場合、本件売買契約につ いてＢが反対していたとしても、自らが取消権を有すると知ったＡは、本件売買契約を追認 することができ、追認後は本件売買契約を取り消すことはできなくなる。,本件売買契約につき、Ｂが追認しないまま、Ａが成年に達する前にＢの同意を得ずに甲建 物をＤに売却した場合、ＢがＤへの売却について追認していないときでも、Ａは制限行為能 力を理由として、本件売買契約を取り消すことはできなくなる。,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q09,権利関係,R5,2,Ａを貸主、Ｂを借主として甲建物の賃貸借契約が令和5 年7 月1 日に締結された 場合の甲建物の修繕に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。,甲建物の修繕が必要であることを、Ａが知ったにもかかわらず、Ａが相当の期間内に必要 な修繕をしないときは、Ｂは甲建物の修繕をすることができる。,甲建物の修繕が必要である場合において、ＢがＡに修繕が必要である旨を通知したにもか かわらず、Ａが必要な修繕を直ちにしないときは、Ｂは甲建物の修繕をすることができる。,Ｂの責めに帰すべき事由によって甲建物の修繕が必要となった場合は、Ａは甲建物を修繕 する義務を負わない。,甲建物の修繕が必要である場合において、急迫の事情があるときは、Ｂは甲建物の修繕を することができる。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q10,権利関係,R5,2,"債務者Ａが所有する甲土地には、債権者Ｂが一番抵当権（債権額1,000 万円）、 債権者Ｃが二番抵当権（債権額1,200 万円）、債権者Ｄが三番抵当権（債権額2,000 万円）を それぞれ有しているが、ＢがＤの利益のため、Ａの承諾を得て抵当権の順位を放棄した。甲土 地の競売に基づく売却代金が2,400 万円であった場合、Ｂの受ける配当額として、民法の規定 によれば、正しいものはどれか。",0 円,200 万円,400 万円,800 万円,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q11,権利関係,R5,2,ＡがＢとの間で、Ａ所有の甲土地につき建物所有目的で期間を50 年とする賃貸 借契約（以下この問において「本件契約」という。）を締結する場合に関する次の記述のうち、 借地借家法の規定及び判例によれば、正しいものはどれか。,本件契約に、当初の10 年間は地代を減額しない旨の特約を定めた場合、その期間内は、 ＢはＡに対して地代の減額請求をすることはできない。,本件契約が甲土地上で専ら賃貸アパート事業用の建物を所有する目的である場合、契約の 更新や建物の築造による存続期間の延長がない旨を定めるためには、公正証書で合意しなけ ればならない。,本件契約に建物買取請求権を排除する旨の特約が定められていない場合、本件契約が終了 したときは、その終了事由のいかんにかかわらず、ＢはＡに対してＢが甲土地上に所有して いる建物を時価で買い取るべきことを請求することができる。,本件契約がＢの居住のための建物を所有する目的であり契約の更新がない旨を定めていな い契約であって、期間満了する場合において甲土地上に建物があり、Ｂが契約の更新を請求 したとしても、Ａが遅滞なく異議を述べ、その異議に更新を拒絶する正当な事由があると認 められる場合は、本件契約は更新されない。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
